timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643794335300,5067,Novo,200,OK,Thread Group 1-27,text,true,,383876,252,30,30,https://cityfashion.mk/novo/,21,0,11
1643794335300,21,Novo-0,301,Moved Permanently,Thread Group 1-27,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,21,0,11
1643794335321,5046,Novo-1,200,OK,Thread Group 1-27,text,true,,383518,124,30,30,https://cityfashion.mk/novo/,4816,0,1387
1643794335137,5280,Novo,200,OK,Thread Group 1-22,text,true,,383899,252,30,30,https://cityfashion.mk/novo/,255,0,12
1643794335137,255,Novo-0,301,Moved Permanently,Thread Group 1-22,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,255,0,12
1643794335393,5024,Novo-1,200,OK,Thread Group 1-22,text,true,,383541,124,30,30,https://cityfashion.mk/novo/,4744,0,1309
1643794334971,5555,Novo,200,OK,Thread Group 1-17,text,true,,383907,252,30,30,https://cityfashion.mk/novo/,21,0,10
1643794334971,21,Novo-0,301,Moved Permanently,Thread Group 1-17,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,21,0,10
1643794334992,5534,Novo-1,200,OK,Thread Group 1-17,text,true,,383549,124,30,30,https://cityfashion.mk/novo/,5181,0,1707
1643794335401,5239,Novo,200,OK,Thread Group 1-30,text,true,,383868,252,30,30,https://cityfashion.mk/novo/,29,0,15
1643794335401,29,Novo-0,301,Moved Permanently,Thread Group 1-30,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,29,0,15
1643794335431,5209,Novo-1,200,OK,Thread Group 1-30,text,true,,383510,124,30,30,https://cityfashion.mk/novo/,4811,0,1274
1643794335367,5311,Novo,200,OK,Thread Group 1-29,text,true,,383868,252,30,30,https://cityfashion.mk/novo/,23,0,10
1643794335367,23,Novo-0,301,Moved Permanently,Thread Group 1-29,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,23,0,10
1643794335390,5288,Novo-1,200,OK,Thread Group 1-29,text,true,,383510,124,30,30,https://cityfashion.mk/novo/,4942,0,1317
1643794335038,5698,Novo,200,OK,Thread Group 1-19,text,true,,383861,252,30,30,https://cityfashion.mk/novo/,27,0,14
1643794335038,27,Novo-0,301,Moved Permanently,Thread Group 1-19,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,27,0,14
1643794335066,5670,Novo-1,200,OK,Thread Group 1-19,text,true,,383503,124,30,30,https://cityfashion.mk/novo/,5340,0,1633
1643794334574,6165,Novo,200,OK,Thread Group 1-4,text,true,,383861,252,30,30,https://cityfashion.mk/novo/,212,0,186
1643794334574,216,Novo-0,301,Moved Permanently,Thread Group 1-4,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,212,0,186
1643794334793,5946,Novo-1,200,OK,Thread Group 1-4,text,true,,383503,124,30,30,https://cityfashion.mk/novo/,5623,0,1906
1643794335070,5677,Novo,200,OK,Thread Group 1-20,text,true,,383868,252,30,30,https://cityfashion.mk/novo/,24,0,11
1643794335070,24,Novo-0,301,Moved Permanently,Thread Group 1-20,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,24,0,11
1643794335095,5652,Novo-1,200,OK,Thread Group 1-20,text,true,,383510,124,30,30,https://cityfashion.mk/novo/,5223,0,1607
1643794334807,5943,Novo,200,OK,Thread Group 1-12,text,true,,383893,252,30,30,https://cityfashion.mk/novo/,31,0,10
1643794334807,31,Novo-0,301,Moved Permanently,Thread Group 1-12,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,31,0,10
1643794334840,5910,Novo-1,200,OK,Thread Group 1-12,text,true,,383535,124,30,30,https://cityfashion.mk/novo/,5594,0,1869
1643794334641,7163,Novo,200,OK,Thread Group 1-7,text,true,,383899,252,30,30,https://cityfashion.mk/novo/,144,0,115
1643794334641,149,Novo-0,301,Moved Permanently,Thread Group 1-7,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,144,0,115
1643794334793,7011,Novo-1,200,OK,Thread Group 1-7,text,true,,383541,124,30,30,https://cityfashion.mk/novo/,6918,0,1913
1643794334574,8850,Novo,200,OK,Thread Group 1-3,text,true,,383899,252,30,30,https://cityfashion.mk/novo/,212,0,183
1643794334574,216,Novo-0,301,Moved Permanently,Thread Group 1-3,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,212,0,183
1643794334795,8629,Novo-1,200,OK,Thread Group 1-3,text,true,,383541,124,30,30,https://cityfashion.mk/novo/,8539,0,1915
1643794335335,8279,Novo,200,OK,Thread Group 1-28,text,true,,383899,252,30,30,https://cityfashion.mk/novo/,25,0,10
1643794335335,25,Novo-0,301,Moved Permanently,Thread Group 1-28,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,25,0,10
1643794335361,8253,Novo-1,200,OK,Thread Group 1-28,text,true,,383541,124,30,30,https://cityfashion.mk/novo/,8107,0,1347
1643794335169,8458,Novo,200,OK,Thread Group 1-23,text,true,,383899,252,30,30,https://cityfashion.mk/novo/,30,0,13
1643794335169,30,Novo-0,301,Moved Permanently,Thread Group 1-23,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,30,0,13
1643794335200,8427,Novo-1,200,OK,Thread Group 1-23,text,true,,383541,124,30,30,https://cityfashion.mk/novo/,8260,0,1509
1643794335206,8486,Novo,200,OK,Thread Group 1-24,text,true,,383876,252,30,30,https://cityfashion.mk/novo/,26,0,12
1643794335206,26,Novo-0,301,Moved Permanently,Thread Group 1-24,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,26,0,12
1643794335232,8460,Novo-1,200,OK,Thread Group 1-24,text,true,,383518,124,30,30,https://cityfashion.mk/novo/,8320,0,1483
1643794335235,8669,Novo,200,OK,Thread Group 1-25,text,true,,383922,252,30,30,https://cityfashion.mk/novo/,22,0,10
1643794335235,22,Novo-0,301,Moved Permanently,Thread Group 1-25,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,22,0,10
1643794335258,8646,Novo-1,200,OK,Thread Group 1-25,text,true,,383564,124,30,30,https://cityfashion.mk/novo/,8509,0,1456
1643794334576,9335,Novo,200,OK,Thread Group 1-5,text,true,,383868,252,30,30,https://cityfashion.mk/novo/,210,0,180
1643794334576,214,Novo-0,301,Moved Permanently,Thread Group 1-5,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,210,0,180
1643794334795,9116,Novo-1,200,OK,Thread Group 1-5,text,true,,383510,124,30,30,https://cityfashion.mk/novo/,8984,0,1918
1643794334708,9340,Novo,200,OK,Thread Group 1-9,text,true,,383892,252,30,30,https://cityfashion.mk/novo/,77,0,48
1643794334708,82,Novo-0,301,Moved Permanently,Thread Group 1-9,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,77,0,48
1643794334793,9255,Novo-1,200,OK,Thread Group 1-9,text,true,,383534,124,30,30,https://cityfashion.mk/novo/,9129,0,1918
1643794334907,9181,Novo,200,OK,Thread Group 1-15,text,true,,383891,252,30,30,https://cityfashion.mk/novo/,25,0,12
1643794334907,25,Novo-0,301,Moved Permanently,Thread Group 1-15,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,25,0,12
1643794334933,9155,Novo-1,200,OK,Thread Group 1-15,text,true,,383533,124,30,30,https://cityfashion.mk/novo/,9018,0,1784
1643794335105,9078,Novo,200,OK,Thread Group 1-21,text,true,,383922,252,30,30,https://cityfashion.mk/novo/,31,0,15
1643794335105,31,Novo-0,301,Moved Permanently,Thread Group 1-21,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,31,0,15
1643794335137,9046,Novo-1,200,OK,Thread Group 1-21,text,true,,383564,124,30,30,https://cityfashion.mk/novo/,8932,0,1571
1643794334874,9835,Novo,200,OK,Thread Group 1-14,text,true,,383899,252,30,30,https://cityfashion.mk/novo/,27,0,12
1643794334874,27,Novo-0,301,Moved Permanently,Thread Group 1-14,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,27,0,12
1643794334901,9808,Novo-1,200,OK,Thread Group 1-14,text,true,,383541,124,30,30,https://cityfashion.mk/novo/,9702,0,1814
1643794334609,12028,Novo,200,OK,Thread Group 1-6,text,true,,383899,252,30,30,https://cityfashion.mk/novo/,177,0,148
1643794334609,181,Novo-0,301,Moved Permanently,Thread Group 1-6,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,177,0,148
1643794334793,11844,Novo-1,200,OK,Thread Group 1-6,text,true,,383541,124,30,30,https://cityfashion.mk/novo/,11712,0,1920
1643794334939,11932,Novo,200,OK,Thread Group 1-16,text,true,,383876,252,30,30,https://cityfashion.mk/novo/,20,0,10
1643794334939,20,Novo-0,301,Moved Permanently,Thread Group 1-16,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,20,0,10
1643794334960,11911,Novo-1,200,OK,Thread Group 1-16,text,true,,383518,124,30,30,https://cityfashion.mk/novo/,11793,0,1757
1643794334574,12441,Novo,200,OK,Thread Group 1-1,text,true,,383899,252,30,30,https://cityfashion.mk/novo/,212,0,183
1643794334574,216,Novo-0,301,Moved Permanently,Thread Group 1-1,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,212,0,183
1643794334794,12221,Novo-1,200,OK,Thread Group 1-1,text,true,,383541,124,30,30,https://cityfashion.mk/novo/,12072,0,1920
1643794334842,12265,Novo,200,OK,Thread Group 1-13,text,true,,383868,252,30,30,https://cityfashion.mk/novo/,29,0,12
1643794334842,29,Novo-0,301,Moved Permanently,Thread Group 1-13,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,29,0,12
1643794334872,12235,Novo-1,200,OK,Thread Group 1-13,text,true,,383510,124,30,30,https://cityfashion.mk/novo/,12063,0,1841
